elap_secs	cum_tps	int_tps	cum_ips	int_ips	cum_excp	int_excp
10	0.00	0.00	0.00	0.00	0	0
20	4.13	8.22	0.00	0.00	0	0
30	6.48	11.07	0.00	0.00	0	0
40	8.38	14.33	0.00	0.00	0	0
50	10.06	16.81	0.00	0.00	0	0
60	11.63	19.59	0.00	0.00	0	0
70	12.65	18.72	0.00	0.00	0	0
80	13.87	22.52	0.00	0.00	0	0
90	14.64	20.71	0.00	0.00	0	0
100	15.51	23.41	0.00	0.00	0	0
110	16.08	21.69	0.00	0.00	0	0
120	16.74	24.01	0.00	0.00	0	0
130	17.21	22.90	0.00	0.00	0	0
140	17.73	24.47	0.00	0.00	0	0
150	18.26	25.64	0.00	0.00	0	0
160	18.85	27.78	0.00	0.00	0	0
170	19.32	26.98	0.00	0.00	0	0
180	19.79	27.70	0.00	0.00	0	0
190	20.25	28.48	0.00	0.00	0	0
200	20.65	28.14	0.00	0.00	0	0
210	21.09	30.19	0.00	0.00	0	0
220	21.43	28.54	0.00	0.00	0	0
230	21.77	29.27	0.00	0.00	0	0
240	22.11	29.93	0.00	0.00	0	0
250	22.52	32.28	0.00	0.00	0	0
260	22.95	33.93	0.00	0.00	0	0
270	23.30	32.40	0.00	0.00	0	0
280	23.67	33.61	0.00	0.00	0	0
290	23.99	32.80	0.00	0.00	0	0
300	24.31	33.61	0.00	0.00	0	0
310	24.62	33.86	0.00	0.00	0	0
320	24.98	36.33	0.00	0.00	0	0
330	25.27	34.30	0.00	0.00	0	0
340	25.61	36.89	0.00	0.00	0	0
350	25.92	36.70	0.00	0.00	0	0
360	26.28	38.97	0.00	0.00	0	0
370	26.55	36.06	0.00	0.00	0	0
380	26.82	36.70	0.00	0.00	0	0
390	27.09	37.61	0.00	0.00	0	0
400	27.39	39.10	0.00	0.00	0	0
410	27.61	36.32	0.00	0.00	0	0
420	27.86	38.16	0.00	0.00	0	0
430	28.11	38.63	0.00	0.00	0	0
440	28.33	37.50	0.00	0.00	0	0
450	28.53	37.65	0.00	0.00	0	0
