tot_inserts	elap_secs	cum_ips	int_ips
0	10	0.00	0.00
3000	20	147.78	297.03
10000	30	331.13	707.07
446000	181	2458.67	2883.62
446000	181	2454.60	0.00
4446000	1075	4132.35	4473.27
27340000	5981	4570.61	4666.72
78250000	16988	4606.11	4625.40
84954000	18488	4595.01	4469.32
91273000	19852	4597.50	4631.28
91273000	19852	4597.48	0.00
91273000	19852	4597.45	0.00
91275000	19853	4597.47	5780.35
91275000	19853	4597.33	0.00
91277000	19854	4597.34	4878.05
91277000	19854	4597.29	0.00
91277000	19854	4597.22	0.00
91278000	19855	4597.18	2500.00
91278000	19855	4597.09	0.00
91283000	19856	4597.20	8196.72
91653000	19941	4596.18	4358.07
91665000	19941	4596.74	60000.00
91667000	19941	4596.79	10000.00
92078000	20028	4597.44	4745.96
92082000	20028	4597.45	5000.00
92083000	20029	4597.46	5000.00
92099000	20031	4597.75	7272.73
92116000	20032	4598.28	12142.86
92116000	20033	4598.07	0.00
92119000	20034	4598.08	5000.00
92120000	20034	4598.09	5000.00
92513000	20127	4596.37	4225.81
92516000	20128	4596.38	5000.00
92528000	20129	4596.54	6315.79
92884000	20212	4595.31	4294.80
92885000	20213	4595.31	4784.69
93273000	20298	4594.98	4516.88
93274000	20299	4594.82	1111.11
93275000	20300	4594.78	2500.00
93288000	20302	4594.92	5909.09
93685000	20394	4593.73	4329.76
94237000	20496	4597.62	5369.13
94242000	20498	4597.57	3846.15
95020000	20669	4597.15	4547.05
95021000	20669	4597.14	3333.33
95021000	20669	4597.09	0.00
95023000	20670	4597.12	6993.01
95037000	20671	4597.51	10558.07
95343000	20742	4596.57	4322.71
95348000	20743	4596.59	5000.00
95348000	20743	4596.50	0.00
95352000	20744	4596.54	5714.29
95358000	20745	4596.60	6000.00
95732000	20824	4597.19	4752.10
95732000	20824	4597.17	0.00
95733000	20824	4597.19	8403.36
95733000	20824	4597.17	0.00
95734000	20824	4597.09	1792.11
95735000	20825	4597.09	5000.00
95738000	20825	4597.15	7500.00
95741000	20826	4597.01	2320.19
95747000	20828	4597.03	4971.00
95754000	20829	4596.97	3886.73
95768000	20831	4597.18	6669.84
96109000	20908	4596.73	4475.07
96504000	20991	4597.24	4724.88
96511000	20992	4597.36	6979.06
96511000	20992	4597.33	0.00
